Id,event_url,event_name,event_date,event_location,event_gender,logo_url,event_website,event_type,player_age_range,created_by,created_datetime
30,https://www.connectlax.com/event/boys_lax_house_games_2019,Boys Lax House Games,Jun 15-16 '19,"Sylvania, OH",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3186-43757.jpg,https://lacrosseamerica.com/site/register/register.aspx?EventID=2550,Tournament,8 - 18,spider,20190308
31,https://www.connectlax.com/event/boys_spring_play_day,Boys Spring Play Day,Mar 31 '19,"Haverford, PA",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-305-4675.jpg,http://www.mesalacrosse.com/mesa-spring-play-day.html,Tournament,13 - 18,spider,20190308
32,https://www.connectlax.com/event/capital_city_lacrosse_festival_2019,Capital City Lacrosse Festival,Jul 6-7 '19,"Boyds, MD",Women's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3046-43562.jpg,http://www.topofthebaysports.com/,Tournament,8 - 18,spider,20190308
33,https://www.connectlax.com/event/flg_fusion_town_championships_girls,FLG Fusion Town Championships Girls,Mar 31 '19,"Garden City, NY",Women's 8-13,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3151-43806.jpg,https://flglacrosse.com/,Tournament,8 - 13,spider,20190308
34,https://www.connectlax.com/event/flg_fusion_town_championships_boys,FLG Fusion Town Championships Boys,Mar 31 '19,"Garden City, NY",Men's 8-13,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3150-43795.jpg,https://flglacrosse.com/,Tournament,8 - 13,spider,20190308
35,https://www.connectlax.com/event/east_coast_summer_team_invitational_2019,East Coast Summer Team Invitational,Jul 12 '19,"Poolesville, MD",Men's 13-17,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3092-43641.jpg,https://www.madlaxevents.com/eastcoastsummer,Tournament,13 - 17,spider,20190308
36,https://www.connectlax.com/event/duke_summer_kickoff,Duke Summer Kickoff,Jun 8-9 '19,"Durham, NC",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/college_pics/thumb-81.jpg,https://dukelacrossecampforboys.com/,Tournament,13 - 18,spider,20190308
37,https://www.connectlax.com/event/crimson_cup_tournament,Crimson Cup Tournament,Jul 27-28 '19,"Boston, MA",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/college_pics/thumb-117.jpg,https://www.willslax.com/,Tournament,13 - 18,spider,20190308
38,https://www.connectlax.com/event/crab_feast_2019,Crab Feast,Jun 22-23 '19,"Bel Air, MD",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3019-43488.jpg,https://crabslax.com/Tournaments.aspx,Tournament,8 - 18,spider,20190308
39,https://www.connectlax.com/event/country_lax_festival_2016_2019,Country Lax Festival,Jun 1-2 '19,"Goodlettsville, TN",Men's 9-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3181-43754.jpg,https://lacrosseamerica.com/,Tournament,9 - 18,spider,20190308
40,https://www.connectlax.com/event/coastal_challenge,Coastal Challenge,Jul 13-14 '19,"Lewes, DE",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3048-43581.jpg,https://lacrosse.sincsports.com/TTContent.aspx?tid=COASTCHA&tab=1,Tournament,13 - 18,spider,20190308
