tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190215211748437a5744bdcbf0e42,h2019021521174845686bf1a6611474e,h20190215211748437a5744bdcbf0e42,Bash 4 Cash,"Nov 9 - 10, 2019","Antelope, CA",Men's,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120216093644067fb9cf7854644,h201812021609364711f6b441136de4d,h2018120216093644067fb9cf7854644,Fall Bay Bash,"Nov 3, 2019","East Norwich, NY • Oyster Bay, NY",2028,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120216093644067fb9cf7854644,h20181202160936464ec7bbfcd956e42,h2018120216093644067fb9cf7854644,Fall Bay Bash,"Nov 3, 2019","East Norwich, NY • Oyster Bay, NY",2029,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120216093644067fb9cf7854644,h201812021609364810b06525a50df41,h2018120216093644067fb9cf7854644,Fall Bay Bash,"Nov 3, 2019","East Norwich, NY • Oyster Bay, NY",2025,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120216093644067fb9cf7854644,h201812021609364778e7c0cc8cdfa42,h2018120216093644067fb9cf7854644,Fall Bay Bash,"Nov 3, 2019","East Norwich, NY • Oyster Bay, NY",2026,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120216093644067fb9cf7854644,h2018120216093646868c457c9e6da46,h2018120216093644067fb9cf7854644,Fall Bay Bash,"Nov 3, 2019","East Norwich, NY • Oyster Bay, NY",2027,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019010819301855103a2ec4506b24d,h201901101814095048a02cd48dd2846,h2019010819301855103a2ec4506b24d,2019 National Fall Lax Festival,"Nov 2 - 3, 2019",,2027 Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019010819301855103a2ec4506b24d,h201901101813574964b60aa8a709848,h2019010819301855103a2ec4506b24d,2019 National Fall Lax Festival,"Nov 2 - 3, 2019",,2026 Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019010819301855103a2ec4506b24d,h201901101813254512a86e9967b1742,h2019010819301855103a2ec4506b24d,2019 National Fall Lax Festival,"Nov 2 - 3, 2019",,2023 Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019010819301855103a2ec4506b24d,h201901101813352497948f802bb1d46,h2019010819301855103a2ec4506b24d,2019 National Fall Lax Festival,"Nov 2 - 3, 2019",,2024 Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019010819301855103a2ec4506b24d,h2019011018134785082a9a9de374d44,h2019010819301855103a2ec4506b24d,2019 National Fall Lax Festival,"Nov 2 - 3, 2019",,2025 Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019010819301855103a2ec4506b24d,h20190110181311761ffea3375923b48,h2019010819301855103a2ec4506b24d,2019 National Fall Lax Festival,"Nov 2 - 3, 2019",,2022 Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811040209515332637acf927764a,h20181104020951546a7723c8cf90d4d,h201811040209515332637acf927764a,October Slugfest,"Oct 19 - 20, 2019","Montoursville, PA • Williamsport, PA",10U,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811040209515332637acf927764a,h20181104020951543104336e8daa447,h201811040209515332637acf927764a,October Slugfest,"Oct 19 - 20, 2019","Montoursville, PA • Williamsport, PA",11U,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019010819301855103a2ec4506b24d,h2019011018125572395ded384f98c41,h2019010819301855103a2ec4506b24d,2019 National Fall Lax Festival,"Nov 2 - 3, 2019",,2021 Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019010819301855103a2ec4506b24d,h201901101812421327ce80ae434d742,h2019010819301855103a2ec4506b24d,2019 National Fall Lax Festival,"Nov 2 - 3, 2019",,2020 Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811040209515332637acf927764a,h20181104020951551a81a3fdd76aa4e,h201811040209515332637acf927764a,October Slugfest,"Oct 19 - 20, 2019","Montoursville, PA • Williamsport, PA",13U,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811040209515332637acf927764a,h201811040209515487a6a83ef135148,h201811040209515332637acf927764a,October Slugfest,"Oct 19 - 20, 2019","Montoursville, PA • Williamsport, PA",12U,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181119011929439bde7fe3f1be04d,h201811190119295622449e45f70354a,h20181119011929439bde7fe3f1be04d,2019 Graveyard Fall Tournament,"Nov 2 - 9, 2019","Canton, OH",BOYS V,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181119011929439bde7fe3f1be04d,h20181119011929501aa764db960394b,h20181119011929439bde7fe3f1be04d,2019 Graveyard Fall Tournament,"Nov 2 - 9, 2019","Canton, OH",BOYS 5-6 B,,,,,,,,,,
